sl.num,Grid Number,City name,Road_length,Network Density ,CA,population
1,G1,New Delhi,1898.331177,17.51392436,4054.11,249998
2,G2,Belgaum,1313.717944,11.08439612,1534.05,488157
3,G3,Gulbarga,1714.513607,14.5741595,2377.14,483615
4,G4,Jamnagar,1454.757045,12.76456268,2141.93,479920
5,G5,Dhulia,1164.130948,10.1063499,1608.71,479073
6,G6,Gaya,417.6802901,3.727731551,1383.48,474093
7,G7,Jalgaon,418.2077478,3.633418881,1952.07,460468
8,G8,Kurnool,872.2892714,7.358293051,1683.16,457633
9,G9,Udaipur,888.9016838,7.922950447,2945.44,451100
10,G10,Bellary,1195.320208,10.05134608,1420,445388
11,G11,Sangli,888.1495621,7.531253414,1001.88,436639
12,G12,Tuticorin,591.6703764,4.862303641,2040.25,436094
13,G13,Calicut,572.7026436,4.741422451,1550.06,431560
14,G14,Akola,993.5261723,8.615939738,1365.85,425817
15,G15,Bhagalpur,213.5649872,1.91363486,1304.43,410210
16,G16,Quilon,1010.23171,8.304247186,2200.77,397419
17,G17,Sikar,526.7465034,4.815485734,2193.4,400000
18,G18,Bhatpara,608.582381,5.35503195,2027.85,386019
19,G19,Kakinada,933.4990401,7.918531426,1398.63,384182
20,G20,Bhilwara,396.11852,3.552258931,1859.6,389911
21,G21,Nizamabad,1117.741374,9.571890025,1576.07,388505
22,G22,Panihati,1503.371934,13.21172495,4837.6,377347
23,G23,Parbhani,833.9218709,7.166508759,1081.38,378326
24,G24,Rohtak,727.8642906,6.733292069,1804.97,374292
25,G25,Latur,1274.815281,10.90018788,1625.76,374394
26,G26,Rajapalaiyam,353.8419123,2.912896091,1023.58,369991
27,G27,Ahmadnagar,1148.113191,9.85565617,1725.65,350859
28,G28,Rajahmundry,879.2457735,7.460257083,1608.74,341831
29,G29,Cuddapah,453.1061119,3.798436826,1190.51,344893
30,G30,Muzaffarpur,650.9420731,5.874541358,2740.06,333200
31,G31,Alwar,1237.129164,11.30519934,2025.19,341422
32,G32,Brahmapur,676.4528069,5.814980434,1577.09,324726
33,G33,Kamarhati,1534.410968,13.48257586,5268.61,330211
34,G34,Mathura,989.0003229,9.032648891,2056.51,330511
35,G35,Patiala,1145.084294,10.74013166,2487.25,329224
36,G36,Saugor,210.3228472,1.863845575,957.31,328240
37,G37,Bijapur,1372.551405,11.63630443,826.17,327427
38,G38,Shahjanpur,308.1610186,2.823997115,1420.75,320434
39,G39,Junagadh,855.3477453,7.456182294,1312.21,320250
40,G40,Trichur,1552.325036,12.82110772,2313.38,315596
41,G41,Barddhaman,409.8158985,3.616097909,1748.05,314265
42,G42,Purnea,307.2812217,2.765289772,1589.46,310817
43,G43,Sambalpur,722.7509894,6.298220689,1071.3,310852
44,G44,Firozabad,428.8098652,3.904165258,1682.94,306409
45,G45,Hisar,798.7663568,7.406655904,2120.29,307024
46,G46,Rampur,273.9741341,2.531795732,1316.58,296418
47,G47,Bali,1249.045201,10.97355862,4754.73,293373
48,G48,Panipat,1045.053795,9.712172737,3028.68,292808
49,G49,Aizawl,191.6863828,1.697457807,501.97,293416
50,G50,Karimnagar,1089.234079,9.31513126,1988.36,289821
