Pixel 0,Pixel 10 (Tree Cover),Pixel 20 (Shrubland),Pixel 30 (Grassland),Pixel 40 (Cropland),Pixel 50 (Built-up),Pixel 60 (Bare / sparse vegetation),Pixel 70 (Snow and ice),Pixel 80 (Permanent water bodies),Pixel 90 (Herbaceous wetland),Pixel 95 (Mangroves),Pixel 100 (Moss and lichen),Road_length,Network Density ,CA,population
0,4535.17,238.45000000000002,176.86,389.13,6488.56,430.25,0,162.67000000000002,0.01,0,0,1898.331177,17.51392436,4054.11,249998
11.14,1924.92,943.49,824.89,5037.38,2808.2000000000003,829.48,0,41.6,0,0,0,1313.717944,11.08439612,1534.05,488157
0,214.42000000000002,297.79,271.15,5711.06,4160.53,1734.3500000000001,0,20.650000000000002,0.01,0,0,1714.513607,14.5741595,2377.14,483615
0,475.73,429.08,54.4,5269.83,3453.05,1778.22,0,735.98,33.17,191.64000000000001,0,1454.757045,12.76456268,2141.93,479920
0,332.83,967.91,788.12,5770.72,2877.96,1468.81,0,203.61,0,0,0,1164.130948,10.1063499,1608.71,479073
0,765.16,25.22,815.71,7735.95,1969.82,739.39,0,357.63,1.08,0,0,417.6802901,3.727731551,1383.48,474093
0,334.45,281.28000000000003,416.5,7740.860000000001,2873.9500000000003,688.44,0,85.61,0.01,0,0,418.2077478,3.633418881,1952.07,460468
0,431.11,861.57,188.78,6073.96,2584.55,1379.67,0,900.38,1.08,0,0,872.2892714,7.358293051,1683.16,457633
0.01,2910.88,969.44,1297.28,1655.72,4243.63,699.8100000000001,0,643.85,0.48,0,0,888.9016838,7.922950447,2945.44,451100
0,368.57,536.67,252.5,7299.110000000001,2712.86,1224.52,0,15.73,0,0,0,1195.320208,10.05134608,1420.0,445388
0,368.57,536.67,252.5,7299.110000000001,2712.86,1224.52,0,15.73,0,0,0,888.1495621,7.531253414,1001.88,436639
11.14,828.89,789.54,390.26,1673.6200000000001,3031.78,2970.88,0,2600.89,124.10000000000001,0,0,591.6703764,4.862303641,2040.25,436094
0,3942.4,0.76,69.63,22.6,1199.83,313.03000000000003,0,6847.35,14.36,0,0,572.7026436,4.741422451,1550.06,431560
0,399.77,123.55,325.31,8718.86,2405.09,424.82,0,12.56,0,0,0,993.5261723,8.615939738,1365.85,425817
0,1340.17,1.85,146.99,6966.54,1728.31,784.86,0,1431.44,9.8,0,0,213.5649872,1.91363486,1304.43,410210
0,4481.13,0.54,75.54,45.13,1631.08,142.70000000000002,0,5991.12,42.72,0,0,1010.23171,8.304247186,2200.77,397419
11.14,206.23000000000002,577.28,29.240000000000002,7010.1900000000005,3320.1800000000003,1264.24,0,2.6,0,0,0,526.7465034,4.815485734,2193.4,400000
0,4800.5,93.75,109.38,2423.79,2867.39,867.14,0,797.33,450.68,0,0,608.582381,5.35503195,2027.85,386019
0,1507.88,70.27,315.11,5962.72,2140.63,938.19,0,970.38,103.25,401.53000000000003,0,933.4990401,7.918531426,1398.63,384182
0,629.96,374.02,2389.73,3792.07,3520.27,1548.58,0,155.33,0,0,0,396.11852,3.552258931,1859.6,389911
0,582.87,301.28000000000003,1327.8600000000001,7166.06,2303.66,639.4,0,88.56,0.27,0,0,1117.741374,9.571890025,1576.07,388505
0,3464.6800000000003,22.02,102.81,833.14,5540.650000000001,1391.47,0,1037.69,17.5,0,0,1503.371934,13.21172495,4837.6,377347
11.14,251.48000000000002,303.09000000000003,70.27,9316.82,1804.9,662.87,0,0.53,0,0,0,833.9218709,7.166508759,1081.38,378326
0,288.32,115.94,20.98,7275.66,3249.96,1455.06,0,13.26,1.92,0,0,727.8642906,6.733292069,1804.97,374292
11.14,125.60000000000001,203.94,171.13,8843.93,2638.05,414.87,0,3.81,8.63,0,0,1274.815281,10.90018788,1625.76,374394
0,737.3100000000001,683.4,1337.58,7200.12,1630.22,799.34,0,29.22,3.91,0,0,353.8419123,2.912896091,1023.58,369991
11.14,451.16,1149.81,679.41,6105.12,2541.65,1473.59,0,9.22,0,0,0,1148.113191,9.85565617,1725.65,350859
0,3227.33,53.31,399.26,1996.21,2215.43,708.77,0,3813.46,7.33,0,0,879.2457735,7.460257083,1608.74,341831
0,975.0600000000001,1323.31,365.13,6951.1900000000005,1883.5,861.9300000000001,0,42.910000000000004,6.93,0,0,453.1061119,3.798436826,1190.51,344893
0,2105.06,1.92,71.12,5054.43,4028.5,987.7900000000001,0,160.19,0.9500000000000001,0,0,650.9420731,5.874541358,2740.06,333200
0,608.69,3029.6,557.15,3561.08,3707.65,944.3100000000001,0,1.48,0,0,0,1237.129164,11.30519934,2025.19,341422
11.14,1513.29,12.86,1104.27,7511.58,1762.6000000000001,397.58,0,47.050000000000004,60.730000000000004,0,0,676.4528069,5.814980434,1577.09,324726
11.14,3178.9,17.98,105.16,741.92,5950.71,1360.81,0,1042.34,12.14,0,0,1534.410968,13.48257586,5268.61,330211
0,829.6700000000001,6.44,126.95,5672.95,4214.86,1061.75,0,497.34000000000003,0,0,0,989.0003229,9.032648891,2056.51,330511
11.14,2297.68,224.19,200.89000000000001,4697.46,4190.43,784.95,0,14.33,0.03,0,0,1145.084294,10.74013166,2487.25,329224
0,1164.01,452.72,2088.64,5762.99,1331.72,1535.22,0,85.8,0,0,0,210.3228472,1.863845575,957.31,328240
0,275.40000000000003,282.79,184.31,5680.84,3206.73,2673.79,0,103.4,2.7,0,0,1372.551405,11.63630443,826.17,327427
0,958.49,2.8000000000000003,134.72,7562.17,2259.26,1426.1000000000001,0,77.56,0,0,0,308.1610186,2.823997115,1420.75,320434
0,4019.76,2762.91,86.10000000000001,3087.38,2097.23,298.11,0,58.34,0.13,0,0,855.3477453,7.456182294,1312.21,320250
0,7037.57,5.2,577.19,2180.34,2188.59,139.75,0,52.64,228.68,0,0,1552.325036,12.82110772,2313.38,315596
0,1993.6000000000001,4.66,203.05,6822.7,1960.8700000000001,712.79,0,715.09,8.34,0,0,409.8158985,3.616097909,1748.05,314265
0,1466.89,11.69,86.18,8237.23,2071.31,496.56,0,0,40.1,0,0,307.2812217,2.765289772,1589.46,310817
0,2644.14,128.84,1658.97,4556.35,1485.45,576.46,0,1359.75,0,0,0,722.7509894,6.298220689,1071.3,310852
0,258.48,10.450000000000001,104.26,6904.74,2905.33,2108.35,0,111.32000000000001,7.03,0,0,428.8098652,3.904165258,1682.94,306409
0,868.2,473.13,123.66,5125.62,3924.9900000000002,1822.4,0,71.82000000000001,0.14,0,0,798.7663568,7.406655904,2120.29,307024
0,2037.8500000000001,16.23,48.1,7655.82,1795.45,854.41,0,1.34,0.76,0,0,273.9741341,2.531795732,1316.58,296418
0,3181.23,27.94,187.89000000000001,1160.43,5377.33,1330.39,0,1104.6100000000001,40.14,0,0,1249.045201,10.97355862,4754.73,293373
0,433.8,35.92,25.17,5961.63,5204.92,737.15,0,11.370000000000001,0,0,0,1045.053795,9.712172737,3028.68,292808
0,10585.01,0.33,544.76,26.03,979.15,285.82,0,0,0,0,0,191.6863828,1.697457807,501.97,293416
0,640.97,62.5,732.46,6280.92,2865.46,427.11,0,1399.21,12.47,0,0,1089.234079,9.31513126,1988.36,289821
11.14,122.13,3282.32,306.37,7458.51,370.46,804.48,0,64.08,1.61,0,0,500.057433,4.412376256,303.41,289429
0,1510.2,346.2,189.72,6409.12,2527.18,1344.1200000000001,0,83.42,0,0,0,882.2374927,7.474720064,826.17,287570
11.14,894.1800000000001,3290.9300000000003,207.19,5408.04,1150.27,1265.59,0,192.23000000000002,1.53,0,0,660.5024919,5.55710877,587.27,286007
0,1837.93,328.34000000000003,43.13,4581.400000000001,4546.27,979.35,0,103.63,1.05,0,0,431.2404508,4.04042796,2118.06,285813
0,1813.24,1089.15,2816.43,5985.02,202.58,414.65000000000003,0,88.89,0,0,0,89.93079299,0.798951477,144.35,283004
0,6548.04,8.45,178,2310.2200000000003,2197.7200000000003,1051.71,0,60.01,55.81,0,0,705.9510118,6.205269171,2065.71,278435
0,466.96000000000004,66.86,194.42000000000002,9339.73,1742.22,538.6800000000001,0,72.23,0,0,0,735.9446396,6.49694464,1262.03,273892
0,1136.59,36.36,369.7,6425.7300000000005,2979.91,987.88,0,471.61,2.18,0,0,1189.521081,10.34643356,1846.35,268806
0,4429.77,2.42,3105.08,3368.02,534.35,955.03,0,15.290000000000001,0,0,0,317.8134619,3.115841684,376.32,269311
0,1970.07,11.28,619.19,5240.68,4115.25,416.95,0,30.62,17.06,0,0,602.6927705,5.381907323,3633.68,264986
0,750.71,361.02,127.4,7362.2,2806.63,595.95,0,72.55,333.5,0,0,1211.62188,10.16689352,1613.19,267161
0,1439.42,39.51,172.33,6261.95,1965.64,2325.84,0,205.27,0,0,0,177.3380883,1.609494858,1144.3,257448
0,353.55,1199.42,264.58,8087.12,1607.82,798.1700000000001,0,99.3,0,0,0,709.9190324,5.999661902,1015.88,255240
0,1168.48,162.55,146.04,6718.16,2995.92,902.47,0,52,275.48,0,0,600.9860672,5.474996832,1533.28,252342
11.16,2532.4700000000003,1.45,37.660000000000004,7539.9400000000005,1918.8500000000001,365.26,0,25.330000000000002,0.13,0,0,193.6379183,1.737465282,1427.67,252008
0,384.40000000000003,33.46,25.060000000000002,8311.78,2803.17,846.47,0,5.51,0.11,0,0,745.3496943,6.901293843,1570.59,250521
0,3822.83,19.38,603.7,1703.3,3958.44,1049.94,0,1060.66,191.71,0,0,1221.514896,10.73934861,3218.0,181842
0,349.75,10.09,41.81,9266.03,1777.88,963.6800000000001,0,0.72,0,0,0,199.6384565,1.844092757,1057.71,242920
0,2489.7000000000003,383.96000000000004,875.5,4887.150000000001,916.5,1701.57,0,1154.17,1.41,0,0,256.3117131,2.196595047,652.76,242979
0,7206.6900000000005,4.47,165.03,2467.59,401.09000000000003,930.39,0,1180.92,53.78,0,0,159.9153871,1.403155248,405.45,235345
11.14,2154.76,327.40000000000003,283.61,641.76,2921.98,276.31,0,5753.31,50.83,0,0,1077.376127,8.940807519,2027.65,227411
0,185.68,325.23,44.94,3616.25,1650.5900000000001,1092.31,0,5158.1900000000005,148.67000000000002,199.24,0,351.183397,3.063843284,1174.85,234684
11.14,3607.2200000000003,57.45,1675.8400000000001,4190.9,1981.3400000000001,777.73,0,113.77,5.71,0,0,943.523064,8.054654787,1028.22,228720
11.14,268.04,1741.08,66.85,5999.96,2601.76,1438.64,0,293.63,0,0,0,454.1255237,4.086520504,1577.33,229956
0,2474.4900000000002,212.88,119.51,6891.5,1956.1200000000001,747.7,0,18.900000000000002,0,0,0,425.7475149,3.741762201,1138.65,225132
0,7309.12,133.51,422.15000000000003,2289.78,1662.02,315.96,0,35.11,242.31,0,0,995.0495172,8.164550266,1272.27,224329
0,663.17,63.03,30.95,7563.34,3280.76,654.07,0,154.62,0.02,0,0,849.1036196,7.91385894,1744.24,225049
0,2194.52,36.76,1098.56,1898.42,1353.54,483.13,0,5333.89,11.14,0,0,537.6509883,4.635249817,759.23,201026
0,3051.9700000000003,710.9,52.49,6067.55,2021.44,381.87,0,133.81,1.07,0,0,1138.917151,9.415083537,1616.92,222943
0,3077.92,322.11,550.75,420.26,7312.92,267.28000000000003,0,454.7,4.0200000000000005,0,0,2791.517423,23.7439643,5184.38,213698
0,389.25,4.08,16.55,9979.41,1269.16,761.33,0,1.22,0.1,0,0,254.3166989,2.345574237,830.96,220813
0,3027.01,49.620000000000005,132.66,3817.28,3560.62,1495.95,0,326.77,0.05,0,0,1198.835926,10.87432714,3188.91,218718
0,4767.49,12.5,178.98,2306.01,3201.54,1045.24,0,886.85,11.35,0,0,566.0742465,4.982189017,2397.17,217900
0,8963.64,28.09,2315.84,23.61,592.17,486.61,0,0,0,0,0,312.2360571,2.951960622,279.27,206575
0,3968.52,124.12,367.03000000000003,5668.64,1401.54,855.11,0,24.92,0.08,0,0,233.4051746,2.045969679,1382.91,207604
0,1257.02,376.35,2015.88,4877.81,2883.09,998.53,0,11.620000000000001,0.8,0,0,1211.690089,10.002969,1638.76,207327
0,4149.97,27.04,156.33,4254.3,1779.24,702.95,0,256.34000000000003,1083.79,0,0,247.6679621,2.21477546,1167.52,205521
0,1126.06,332.48,88.4,8185.34,1681.54,790.91,0,196.13,20.240000000000002,0,0,852.251637,7.178219027,1019.83,204746
0,1898.8500000000001,48.730000000000004,301.97,7852.37,1736.82,351.82,0,218.36,12.18,0,0,949.1227861,8.04188363,1082.71,203780
0,1888.49,34.67,233.61,3832.28,1044.35,1594.65,0,3765.32,16.59,0,0,382.2181682,3.343441089,587.16,200827
0,643.73,74.26,88.29,2328.11,7809.06,1457.23,0,19.740000000000002,0.68,0,0,2242.411625,20.65691074,4683.56,197340
0,1301.1200000000001,5.3100000000000005,27.14,8194.85,1590.2,1281.55,0,9.790000000000001,0,0,0,224.2220835,2.064560151,1046.69,198612
0,3910.12,22.73,65.94,5736.7300000000005,1253.57,927.59,0,464.1,29.18,0,0,221.024142,1.962693656,1167.69,195223
0,1801.32,21.39,1055.8600000000001,8519.91,386.87,616.35,0,18.55,0.85,0,0,95.03117908,0.835199411,383.69,197953
0,5726.62,14.91,311.39,1755.3500000000001,3355.2200000000003,1166.48,0,58.480000000000004,32.65,0,0,1060.085537,9.316761352,3052.04,196127
0,1543.89,446.18,377.82,7957.62,991.4300000000001,774.88,0,329.28000000000003,0,0,0,546.9786736,4.76108061,896.08,197233
11.15,1933.51,290.5,537.3100000000001,6264.29,2353.94,706.58,0,332.5,2.47,0,0,1239.282734,10.52982669,1680.22,196283
0,221.89000000000001,216.88,33.63,7696.16,2555.53,1619.39,0,72.55,5.07,0,0,535.6923405,4.950115891,1484.25,197662
0,2456.09,763.02,116.65,5592.53,2728.93,542.85,0,209.89000000000001,0,0,0,1305.082616,11.51314478,1479.04,195891
0,5824.34,4.29,120.93,1233.8600000000001,3423.55,921.85,0,873.87,7.2700000000000005,0,0,567.7497558,4.996935676,2499.0,179931
0,253.35,2617.1,1205.58,6124.34,1646.29,548.35,0,25.95,0.14,0,0,750.9592254,6.363553836,1105.43,190400
11.14,450.96000000000004,33.81,299.2,10042.04,817.03,585.29,0,171.62,10.01,0,0,272.8876964,2.298659593,525.48,188654
0,3399.64,23.490000000000002,699.69,5778.400000000001,1104.29,1133.92,0,11.42,270.25,0,0,192.5642006,1.730603107,664.09,183612
0,4550.52,13.91,191.57,1068.1,4267.7,1003.26,0,1064.89,261.15,0,0,1397.847139,12.28963132,3547.81,152783
0,873.12,342.7,28.150000000000002,8281.18,2264.35,616.39,0,4.07,0,0,0,456.011818,4.03413985,1541.17,184991
0.01,437.58,32.43,15.55,9720.37,1754.22,460.28000000000003,0,0,0.66,0,0,360.3382545,3.432342637,1211.14,183314
0,925.95,159.45000000000002,855.47,7241.32,1323.06,1186.02,0,729.83,0,0,0,662.2500759,5.753800473,694.99,183001
0,1081.81,4.48,65.8,8918.25,1528.93,790.35,0,7.59,12.75,0,0,276.1291897,2.52350724,1110.96,182218
0,483.18,358,1146.94,7918.67,1476.69,658.3000000000001,0,368.18,0,0,0,223.9317412,2.02142793,779.81,181734
0,118.10000000000001,44.03,12.67,9659.32,1802.96,760.99,0,11.89,0,0,0,482.7183536,4.49076532,1086.18,181639
0,1005.9300000000001,2.61,48.72,8409.14,1801.64,951.03,0,190.89000000000001,0,0,0,269.9773989,2.428650155,1247.49,180362
0,2764.17,7.28,426.42,659.02,7474.45,827.33,0,241.19,10.1,0,0,2069.024687,18.17365803,5926.08,114786
0,453.02,3008.8,567.51,6258.68,1171.56,921.64,0,26.650000000000002,2.1,0,0,746.6966893,6.23532889,640.56,180180
0,3767.76,3.99,135.57,3057.7200000000003,783.16,183.25,0,2345.9700000000003,2132.54,0,0,552.7388,4.551285523,979.12,176783
0.02,3698.52,2952.31,110.39,2312.53,2384.86,818.52,0,149.18,5.92,0,0,585.0355975,4.873079395,1926.1,177081
0,4489.27,18.39,163.24,1071.18,4450.06,988.98,0,1029.59,199.25,0,0,1459.956109,12.83476494,3781.86,116541
0,5597.52,15.06,100.09,1073.98,3774.53,844.76,0,884.66,119.36,0,0,683.6913474,6.015930009,2589.13,166867
0,2928.9500000000003,865.63,971.0600000000001,2884.2200000000003,1971.5,793.41,0,1930.17,65.02,0,0,987.4803003,8.189533218,1295.15,173676
0,770.47,781.76,194.68,8189.66,1334.67,752.1800000000001,0,339.48,47.06,0,0,370.7376276,3.12736526,886.48,172826
0,227.85,0.63,76.67,11380.15,229.38,493.64,0,1.6400000000000001,0,0,0,94.16195361,0.839761459,199.58,173216
0,439.18,711.41,829.69,8131.45,1306.3500000000001,998.52,0,4.49,0.01,0,0,743.6804226,6.341028935,698.2,172298
0,583.9,352.83,342.97,7407.55,1592.26,771.8100000000001,0,545.2,121.28,692.16,0,700.6651316,5.921089522,792.76,169892
0,2992.14,211.85,297.90000000000003,7066.45,1096.45,375.15000000000003,0,369.68,0.34,0,0,462.8251848,4.059944855,975.82,169264
0,5383.87,0,3808.08,1314.6200000000001,823.26,823.4300000000001,0,256.7,0,0,0,304.583544,2.979163501,569.94,167986
11.14,429.35,2.17,36.28,10060.710000000001,872.75,999.4200000000001,0,8.4,0.88,0,0,124.1049669,1.117774438,627.04,166480
0,1500.82,156.92000000000002,29.150000000000002,9279.42,1283.3700000000001,165.5,0,4.82,1.1,0,0,733.767297,6.20252885,773.09,164937
0,6658.42,4.05,1140.93,742.45,1388.6200000000001,404.69,0,2059.84,10.96,0,0,916.7166845,7.648314233,1622.23,165401
0,1074.18,8.09,23.79,10533.29,291.59000000000003,478.16,0,0.86,0,0,0,65.8843012,0.602407902,201.228,164435
0,2372.78,1635.1100000000001,912.23,5065.84,1873.71,344.17,0,194.70000000000002,11.42,0,0,1000.437922,8.33028863,1386.6,164384
0,619.17,423.65000000000003,130.79,8171.17,1454.24,1252.2,0,369.88,0,0,0,563.8160854,4.732048753,958.16,163970
0,7156.75,30.89,268.41,3156.37,270.02,1346.83,0,95.65,96.18,0,0,175.9424185,1.526943714,194.75,163000
0,1435.4,138.96,1397.59,7363.33,1389.13,633.87,0,51.68,0,0,0,261.3346181,2.298056261,913.07,161925
0,247.69,1.59,19.19,10418.39,1165.57,551.04,0,6.49,0,0,0,238.2781967,2.186553235,707.84,161555
0,3627.71,3744.37,76.43,3072.4300000000003,1189.84,679.39,0,16.68,3.11,0,0,415.5395167,3.46507518,952.56,160722
0,4338,0.87,26.55,6570.67,919.19,409.65000000000003,0,137.51,7.5200000000000005,0,0,351.725557,3.106951494,829.58,153062
0,1311.72,0.92,233.54,6426.97,2159.08,1089.45,0,1188.21,0.07,0,0,266.6257843,2.326958181,1419.37,158253
0,1522.05,2.82,46.65,8873.01,1412.93,529.87,0,1.84,20.79,0,0,190.6341889,1.716976546,1092.48,156540
0,4020.34,273.25,14.530000000000001,6764.78,674.11,658.45,0,4.5,0,0,0,192.4902592,1.827763293,442.7,158142
0,4543.51,204.62,200.64000000000001,4083.4700000000003,2253.11,928.4200000000001,0,207.33,0,0,0,541.1003692,5.179088927,1104.42,155909
0,384.09000000000003,19.27,419.6,9589.380000000001,1000.2900000000001,822.39,0,174.94,0,0,0,146.1931408,1.292575619,698.2,155959
0,790.85,249.43,1025.2,7703.02,1726.83,356.1,0,569.65,0.02,0,0,961.051441,8.157199409,1077.42,154326
0,2265.86,0.4,89.27,8867.04,535.37,399.72,0,249.9,2.4,0,0,337.8231128,3.026230712,403.15,153279
0,5551.7300000000005,126.17,713.57,4260.09,297.01,356.45,0,1084.77,20.17,0,0,403.731481,3.686661884,265.49,154019
0,1369.38,77.02,14.97,2495.04,1304.23,513.66,0,6628.5,7.16,0,0,157.4024242,1.36648199,773.85,153696
0,1873.78,18.21,153.13,7083.62,2434.66,828.49,0,17.89,0.18,0,0,483.4974673,4.386826283,1669.21,153047
0,3561.32,27.93,347.13,5624.64,1450.28,850.1700000000001,0,422.14,126.35000000000001,0,0,400.7090681,3.577404086,1363.01,152393
0,5678.25,3.42,29.36,4959.76,431.91,607.89,0,682.3000000000001,17.07,0,0,205.7527086,1.815502869,700.69,151777
0,270.83,935.89,63.93,9614.01,1082.06,434.58,0,19.76,0.04,0,0,262.8876668,2.197805542,714.47,151677
0,2197.39,16.64,1727.23,2715.23,4672.04,626.54,0,453.86,1.03,0,0,1227.188183,10.1631309,3318.04,151184
0,238.43,1391.5,1187.4,5298.34,2309.7000000000003,1906.58,0,78.01,0,0,0,315.9401845,2.85080685,1490.76,151472
0,2899.19,201.01,66.4,2975.58,5450.16,806.96,0.07,9.27,1.32,0,0,1668.40986,15.71166892,2951.7,146213
0,6916.5,8.85,91.4,4311.2,329.49,736.95,0,10.72,15.99,0,0,242.3620162,2.132027015,366.7,147221
0,1288.08,538.73,123.38000000000001,6481.860000000001,3299.36,668.4,0,6.63,3.52,0,0,943.8396525,8.857751756,1688.96,146787
0,175.15,6.34,33.85,10636.59,553.13,871.24,0,2.52,131.14000000000001,0,0,126.3509773,1.155280177,240.89,145601
0,6754.06,0.22,2225.69,961.99,1163.2,1269.44,0,35.36,0,0,0,408.1377429,3.666725906,1468.66,143229
0,329.8,1596.39,282.96,7593.96,1270.57,1287.3,0,58.32,1.8,0,0,839.6136384,6.999460192,683.18,144625
0,1551.8400000000001,95.9,162.95000000000002,8434.04,1157.63,494.81,0,249.75,263.04,0,0,746.2860531,6.317524567,754.11,142184
0,528.26,43.79,239.65,9936.130000000001,835.73,646.96,0,190.58,0,0,0,468.2249543,4.155618791,537.27,141667
0,4707.2,407.37,138.86,5617.89,1367.72,162.72,0,5.88,2.32,0,0,986.9649359,8.163759383,1179.45,139264
0,2238.27,10.39,951.96,6850.7300000000005,1344.56,640.78,0,350.19,23.080000000000002,0,0,693.416561,5.925630995,947.96,137944
11.14,1853.4,877.33,314.89,7248.04,1380.47,711.13,0,21.53,3.17,0,0,918.0687254,7.627944478,844.19,138243
0,5798.9800000000005,36.11,1081.65,3529.2200000000003,1487.65,388.87,0,87.45,0.03,0,0,898.1224238,7.469576792,903.68,137358
