Number,city_ascii,Pixel 0 ,,Pixel 10 (Tree Cover),,Pixel 20 (Shrubland),,Pixel 30 (Grassland),,Pixel 40 (Cropland),,Pixel 50 (Built-up),,Pixel 60 (Bare / sparse vegetation),,Pixel 70 (Snow and ice),,Pixel 80 (Permanent water bodies),,Pixel 90 (Herbaceous wetland),,Pixel 95 (Mangroves),,Pixel 100 (Moss and lichen),
,,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %,PixelSum,Percentage %
1,New Delhi,0,0,453517,36.5118226244052,23845,1.91971725531555,17686,1.42386745135294,38913,3.13281432401317,648856,52.2382075661576,43025,3.46386390899357,0,0,16267,1.30962636159438,1,8.05081675535983E-05,0,0,0,0
2,Belgaum,1114,0.0896860986547085,192492,15.4971781887272,94349,7.59586510051445,82489,6.64103823332877,503738,40.5550233071145,280820,22.6083036124015,82948,6.67799148223587,0,0,4160,0.334913977022969,0,0,0,0,0,0
3,Gulbarga,0,0,21442,1.72780573023604,29779,2.39960483353693,27115,2.18493854935874,571106,46.019971055507,416053,33.5257325567528,173435,13.9754680917586,0,0,2065,0.166398602412901,1,8.0580437003826E-05,0,0,0,0
4,Jamnagar,0,0,47573,3.83001505502733,42908,3.4544444533898,5440,0.437964431491575,526983,42.4264356618979,345305,27.7998727970953,177822,14.316123370716,0,0,73598,5.92524011560973,3317,0.267045591775286,19164,1.54285852299716,0,0
5,Dhulia,0,0,33283,2.68195868479834,96791,7.79946107803732,78812,6.35070540114553,577072,46.5007139426719,287796,23.1907274479531,146881,11.835735167559,0,0,20361,1.6406982778349,0,0,0,0,0,0
6,Gaya,0,0,76516,6.16569271778475,2522,0.203223862123649,81571,6.57302682683909,773595,62.3366231639748,196982,15.8728956418876,73939,5.95803693162589,0,0,35763,2.88179816856783,108,0.0087026871964132,0,0,0,0
7,Jalgaon,0,0,33445,2.6925956638301,28128,2.26453373694761,41650,3.35316517860737,774086,62.3202453888947,287395,23.1376448140664,68844,5.54250428705992,0,0,8561,0.689230422426355,1,8.05081675535983E-05,0,0,0,0
8,Kurnool,0,0,43111,3.47078761140318,86157,6.93634219191537,18878,1.51983318707683,607396,48.9003389393854,258455,20.8077384450653,137967,11.1074703528673,0,0,90038,7.24879439019089,108,0.0086948820957886,0,0,0,0
9,Udaipur,1,8.05081675535983E-05,291088,23.4349614768418,96944,7.80478379531604,129728,10.4441635603932,165572,13.3298983181844,424363,34.1646875075476,69981,5.63404207356836,0,0,64385,5.18351836793843,48,0.0038643920425727,0,0,0,0
10,Bellary,0,0,36857,2.96995316665001,53667,4.32451031268433,25250,2.03465603434661,729911,58.8165473538996,271286,21.8603444330199,122452,9.8672356719925,0,0,1573,0.126753027407018,0,0,0,0,0,0
11,Sangli,0,0,36857,2.96995316665001,53667,4.32451031268433,25250,2.03465603434661,729911,58.8165473538996,271286,21.8603444330199,122452,9.8672356719925,0,0,1573,0.126753027407018,0,0,0,0,0,0
12,Tuticorin,1114,0.0896860986547085,82889,6.67324150035021,78954,6.3564418610268,39026,3.14191174694673,167362,13.4740079381053,303178,24.4083052225648,297088,23.9180104821634,0,0,260089,20.9392887908478,12410,0.999106359340155,0,0,0,0
13,Calicut,0,0,394240,31.7680314843884,76,0.0061241132122907,6963,0.56108158285764,2260,0.182111787628647,119983,9.66828257303005,31303,2.52240941953076,0,0,684735,55.1762455318148,1436,0.115713507537494,0,0,0,0
14,Akola,0,0,39977,3.22136413010195,12355,0.99557129918227,32531,2.62136219617146,871886,70.2569548975178,240509,19.3803203233532,42482,3.42321812479653,0,0,1256,0.101209028876805,0,0,0,0,0,0
15,Bhagalpur,0,0,134017,10.7991484259417,185,0.0149073808457078,14699,1.18445184351924,696654,56.1366837604634,172831,13.9267975078082,78486,6.32443617868228,0,0,143144,11.5346060744757,980,0.0789688282637494,0,0,0,0
16,Quilon,0,0,448113,36.1091413670955,54,0.0043513435982066,7554,0.608704621126901,4513,0.363659512198267,163108,13.14331391882,14270,1.1498828360446,0,0,599112,48.2767067742362,4272,0.344239626880345,0,0,0,0
17,Sikar,1114,0.0896860986547085,20623,1.66031993945786,57728,4.64757549653412,2924,0.235405881926722,701019,56.4377551102559,332018,26.7301607748106,126424,10.1781645747961,0,0,260,0.0209321235639355,0,0,0,0,0,0
18,Bhatpara,0,0,480050,38.6826387836867,9375,0.755441596910868,10938,0.881388819947848,242379,19.5310057405503,286739,23.1055539260401,86714,6.98745201434976,0,0,79733,6.42491998362606,45068,3.63159913488843,0,0,0,0
19,Kakinada,0,0,150788,12.1505629349329,7027,0.566238730825885,31511,2.53917015042756,596272,48.0478583331453,214063,17.24929008635,93819,7.55997601926195,0,0,97038,7.81936444597726,10325,0.831993012064503,40153,3.23554628701462,0,0
20,Bhilwara,0,0,62996,5.07624520949302,37402,3.0138695048171,238973,19.2565487721153,379207,30.5566657749098,352027,28.3664894971458,154858,12.4785253135385,0,0,15533,1.25165592798043,0,0,0,0,0,0
21,Nizamabad,0,0,58287,4.696791931642,30128,2.42772740605127,132786,10.69995390799,716606,57.7444246395637,230366,18.5629929508234,63940,5.15231314202463,0,0,8856,0.713620350105883,27,0.0021756717991033,0,0,0,0
22,Panihati,0,0,346468,27.9185428478416,2202,0.177438122282425,10281,0.828447472836335,83314,6.71347852853676,554065,44.6467998285248,139147,11.2125260677714,0,0,103769,8.36175136745002,1750,0.141015764756695,0,0,0,0
23,Parbhani,1114,0.0896860986547085,25148,2.02461939763789,30309,2.44012205038201,7027,0.565730893399135,931682,75.0080105626716,180490,14.530919161749,66287,5.33664490262537,0,0,53,0.0042669328803407,0,0,0,0,0,0
24,Rohtak,0,0,28832,2.32121148690535,11594,0.933411694616419,2098,0.168906135527449,727566,58.5750054343013,324996,26.1648324222492,145506,11.7144214280539,0,0,1326,0.106753830176071,192,0.0154575681702908,0,0,0,0
25,Latur,1114,0.0896860986547085,12560,1.01118258447319,20394,1.64188356908808,17113,1.37773627134473,884393,71.2008598272295,263805,21.238457141477,41487,3.34004234729613,0,0,381,0.0306736118379209,863,0.0694785485987553,0,0,0,0
26,Rajapalaiyam,0,0,73731,5.93594770189436,68340,5.50192817061291,133758,10.7686114756342,720012,57.9668467366014,163022,13.1246024909227,79934,6.43533986522933,0,0,2922,0.235244865591614,391,0.0314786935134569,0,0,0,0
27,Ahmadnagar,1114,0.0896860986547085,45116,3.63220648734814,114981,9.25690961348029,67941,5.46980541175902,610512,49.1512023894824,254165,20.4623584062603,147359,11.8636030625307,0,0,922,0.0742285304844176,0,0,0,0,0,0
28,Rajahmundry,0,0,322733,25.9826424390754,5331,0.429189041228233,39926,3.21436909774497,199621,16.0711209152169,221543,17.8360209643268,70877,5.70617739169639,0,0,381346,30.7014676638945,733,0.0590124868167875,0,0,0,0
29,Cuddapah,0,0,97506,7.85707609049505,132331,10.6632898091533,36513,2.9422334963207,695119,56.0129927896625,188350,15.1773253096706,86193,6.94546960667077,0,0,4291,0.345770655183417,693,0.0558422428436513,0,0,0,0
30,Muzaffarpur,0,0,210506,16.9626654719274,192,0.0154714439047345,7112,0.57308806797121,505443,40.7288178205248,402850,32.4618290469913,98779,7.95965498680093,0,0,16019,1.29081802036429,95,0.0076551415153634,0,0,0,0
31,Alwar,0,0,60869,4.90485061998588,302960,24.4126491946791,55715,4.48953904766816,356108,28.6953382605585,370765,29.8764057257235,94431,7.60929124670829,0,0,148,0.0119259046765662,0,0,0,0,0,0
32,Brahmapur,1114,0.0896860986547085,151329,12.1832204877185,1286,0.103533503473927,110427,8.8902754184412,751158,60.4743541232258,176260,14.1903696129972,39758,3.20084372559596,0,0,4705,0.37879092833968,6073,0.488926101553003,0,0,0,0
33,Kamarhati,1114,0.0896860986547085,317890,25.5927413836134,1798,0.14475368526137,10516,0.84662388999364,74192,5.97306196713657,595071,47.9080757742873,136081,10.9556319488612,0,0,104234,8.39168833678177,1214,0.0977369154100683,0,0,0,0
34,Mathura,0,0,82967,6.68551711689643,644,0.0518938014304639,12695,1.02296864776357,567295,45.7128790100855,421486,33.9635260709946,106175,8.55562789888122,0,0,49734,4.00758745394828,0,0,0,0,0,0
